cell_id,condition,opponent,seed,provider,cooperation_rate,action_volatility,half_life,curvature_beta2,cross_lag_peak,coop_recovery_delay,cost_usd,status
No-H_TFT_s256_anthropic,No-H,TFT,256,anthropic,0.86,9,,-5.960806311748983,0,,0.067999,ok
No-H_TFT_s17_openai,No-H,TFT,17,openai,0.84,13,,0.6799386523245338,0,5,0.028656200000000003,ok
No-H_TFT_s99_deepseek,No-H,TFT,99,deepseek,0.88,12,,-1.249857850456897,0,12,0.008140719999999999,ok
No-H_TFT_s511_anthropic,No-H,TFT,511,anthropic,0.94,6,,0.30553750275327274,0,,0.07701899999999999,ok
No-H_TFT_s256_deepseek,No-H,TFT,256,deepseek,0.92,3,,1.3106188180933944,0,,0.007607600000000002,ok
No-H_TFT_s99_openai,No-H,TFT,99,openai,0.8,16,,-7.01096986513677,0,,0.031939,ok
No-H_TFT_s123_deepseek,No-H,TFT,123,deepseek,0.84,14,,1.2670064303006354,0,14,0.008339240000000001,ok
No-H_TFT_s1024_anthropic,No-H,TFT,1024,anthropic,0.94,6,,-0.16060335808014925,0,4,0.06755399999999999,ok
No-H_TFT_s256_openai,No-H,TFT,256,openai,0.8,14,,-0.44504198093024605,0,13,0.029879000000000006,ok
No-H_TFT_s123_openai,No-H,TFT,123,openai,0.66,15,,3.157788462213967,0,,0.035426200000000005,ok
No-H_TFT_s2048_anthropic,No-H,TFT,2048,anthropic,0.9,8,,0.43091912248938713,0,,0.075409,ok
No-H_TFT_s1024_deepseek,No-H,TFT,1024,deepseek,0.92,7,,-0.12563475315885034,0,,0.00827876,ok
No-H_TFT_s511_deepseek,No-H,TFT,511,deepseek,0.88,10,,0.8409543922147219,0,13,0.008326779999999999,degraded
No-H_TFT_s4096_anthropic,No-H,TFT,4096,anthropic,0.94,6,,-0.4963858465826,0,1,0.077154,ok
No-H_TFT_s8192_anthropic,No-H,TFT,8192,anthropic,0.94,6,,0.28214527543039364,0,,0.06946400000000001,ok
No-H_TFT_s511_openai,No-H,TFT,511,openai,0.64,20,,4.97699216398309,0,8,0.038686600000000015,ok
No-H_TFT_s1024_openai,No-H,TFT,1024,openai,0.8,17,,4.617557704695774,0,1,0.03203340000000001,ok
No-H_TFT_s2048_deepseek,No-H,TFT,2048,deepseek,0.8,19,,2.205164061492687,0,13,0.008366400000000001,ok
No-H_TFT_s4096_deepseek,No-H,TFT,4096,deepseek,0.84,11,,-2.166994035400053,0,,0.0087276,ok
No-H_TFT_s2048_openai,No-H,TFT,2048,openai,0.64,19,,-5.00730914561515,0,10,0.03395820000000001,ok
No-H_Grim_s7_anthropic,No-H,Grim,7,anthropic,0.56,22,,1.1902130712293717,0,13,0.11185399999999998,ok
No-H_TFT_s8192_deepseek,No-H,TFT,8192,deepseek,0.84,11,,-0.5494080582531407,0,,0.008331120000000001,ok
No-H_TFT_s4096_openai,No-H,TFT,4096,openai,0.84,15,,1.52054221862254,0,5,0.034323000000000006,ok
No-H_Grim_s17_anthropic,No-H,Grim,17,anthropic,0.68,11,,1.434951036728132,0,,0.09619900000000002,ok
No-H_TFT_s8192_openai,No-H,TFT,8192,openai,0.74,16,,-4.761553693981715,0,9,0.0329426,ok
No-H_Grim_s7_deepseek,No-H,Grim,7,deepseek,0.42,29,,3.253832364554446,0,,0.009323440000000002,ok
No-H_Grim_s99_anthropic,No-H,Grim,99,anthropic,0.54,27,,4.2088165787672605,0,,0.108194,ok
No-H_Grim_s7_openai,No-H,Grim,7,openai,0.38,16,,-1.774066730739157,0,,0.034117800000000004,ok
No-H_Grim_s17_deepseek,No-H,Grim,17,deepseek,0.44,19,,1.9809785205078905,0,,0.00868476,degraded
No-H_Grim_s123_anthropic,No-H,Grim,123,anthropic,0.58,22,,5.252993896428768,0,12,0.10562900000000001,ok
No-H_Grim_s99_deepseek,No-H,Grim,99,deepseek,0.44,17,,3.0978733767272986,0,11,0.00889308,degraded
No-H_Grim_s17_openai,No-H,Grim,17,openai,0.46,13,,-0.09955246338911844,0,9,0.0306518,ok
No-H_Grim_s256_anthropic,No-H,Grim,256,anthropic,0.74,20,,-0.10390999458442499,0,4,0.09511899999999998,ok
No-H_Grim_s99_openai,No-H,Grim,99,openai,0.48,13,,5.587568069253002,0,,0.033430999999999995,ok
No-H_Grim_s123_openai,No-H,Grim,123,openai,0.84,9,,0.4248181507886948,0,,0.026234199999999996,ok
No-H_Grim_s511_anthropic,No-H,Grim,511,anthropic,0.58,26,,-2.116002768253026,0,14,0.102829,ok
No-H_Grim_s123_deepseek,No-H,Grim,123,deepseek,0.36,18,,1.2865668437450575,0,1,0.009102240000000003,ok
No-H_Grim_s1024_anthropic,No-H,Grim,1024,anthropic,0.54,22,,-0.7305275461522652,0,2,0.115214,ok
No-H_Grim_s511_deepseek,No-H,Grim,511,deepseek,0.36,21,,8.899441121569657,0,6,0.009071720000000002,ok
No-H_Grim_s256_openai,No-H,Grim,256,openai,0.46,21,,-1.5963461132241916,0,,0.0337202,ok
No-H_Grim_s1024_deepseek,No-H,Grim,1024,deepseek,0.6,21,,7.237383777856673,0,4,0.00919464,degraded
No-H_Grim_s2048_anthropic,No-H,Grim,2048,anthropic,0.68,20,,4.5743808885532165,0,,0.09726900000000001,ok
No-H_Grim_s256_deepseek,No-H,Grim,256,deepseek,0.5,25,,0.19414933272974202,0,4,0.009232719999999998,degraded
No-H_Grim_s511_openai,No-H,Grim,511,openai,0.24,15,,3.3367752118223337,0,,0.039597799999999996,ok
No-H_Grim_s4096_anthropic,No-H,Grim,4096,anthropic,0.66,19,,-0.8281884989680138,0,,0.10391899999999998,ok
No-H_Grim_s1024_openai,No-H,Grim,1024,openai,0.34,19,,10.23090803594943,0,7,0.034810600000000004,ok
No-H_Grim_s2048_deepseek,No-H,Grim,2048,deepseek,0.36,20,,5.4710126346100685,0,3,0.009197720000000001,ok
No-H_Grim_s8192_anthropic,No-H,Grim,8192,anthropic,0.54,25,,0.7732033935764562,0,12,0.108629,ok
No-H_Grim_s2048_openai,No-H,Grim,2048,openai,0.4,17,,3.1076470562243177,0,6,0.0341066,ok
No-H_Grim_s4096_deepseek,No-H,Grim,4096,deepseek,0.42,22,,-13.892444291210301,0,,0.009201360000000002,degraded
No-H_Random_s7_anthropic,No-H,Random,7,anthropic,0.92,6,,-1.635981978228823,0,7,0.07344900000000001,ok
No-H_Grim_s8192_deepseek,No-H,Grim,8192,deepseek,0.64,15,,-4.385853286600997,0,,0.008633239999999999,ok
No-H_Random_s17_anthropic,No-H,Random,17,anthropic,0.86,12,,0.10221208218620367,0,,0.08553400000000001,ok
